Name,Power,W/m2,Diameter,hub height [m],Noise @ 3m/s [dB],Noise @ 4m/s [dB],Noise @ 5m/s [dB],Noise @ 6m/s [dB],Noise @ 7m/s [dB],Noise @ 8m/s [dB],Noise @ 9m/s [dB],Noise @ 10m/s [dB],Noise @ 11m/s [dB],Noise @ 12m/s [dB],Valid,Company,Variant,Sec. power,Def. hub height,Edit date
,,,,,wind speed at 10m,,,,,,,,,,,,,,,
ENERCON E-82 E4 2350 82.0 !O!,2 350,445,82,,,,,,,,,,,,Yes,ENERCON,E-82 E4,,78.3,09.06.2022
FWT 3000-120 3000 120.0 !O!,3 000,265.3,120,90.0,93.3,97.9,102.8,105.2,105.7,106.3,106.5,,,,Yes,FWT,3000-120,,100,14.09.2016
FWT 3000-120 3000 120.0 !O!,3 000,265.3,120,100.0,93.5,98.2,103.0,105.3,105.7,106.3,106.5,,,,Yes,FWT,3000-120,,100,14.09.2016
FWT 3000-120 3000 120.0 !O!,3 000,265.3,120,120.0,93.7,98.7,103.4,105.4,105.8,106.4,,,,,Yes,FWT,3000-120,,100,14.09.2016
FWT 3000-120 3000 120.0 !O!,3 000,265.3,120,140.0,94.0,99.2,103.8,105.5,105.9,106.4,,,,,Yes,FWT,3000-120,,100,14.09.2016
GE WIND ENERGY GE 600a 600-150 46.0 !O!,600,361,46,,,,,,,,,,,,No,GE WIND ENERGY,GE 600a,150,50,19.12.2011
JACOBS 48/600 600-120 48.4 !O!,600,326.1,48.4,,,,,,,,,,,,No,JACOBS,48/600,120,65,15.09.2011
NEG MICON NM52/900 900-200 52.0 !O!,900,423.8,52,,,,,,,,,,,,No,NEG MICON,NM52/900,200,44,08.10.2015
NEG MICON NM54 Power Trim 950-200 54.5 !O!,950,407.2,54.5,,,,,,,,,,,,No,NEG MICON,NM54 Power Trim,200,55,07.06.2013
NEG MICON NM72C/1500 1500-400 72.0 !O!,1 500,368.4,72,,,,,,,,,,,,No,NEG MICON,NM72C/1500,400,62,17.06.2014
NORDEX N100 2500 99.8 !O!,2 500,319.6,99.8,,,,,,,,,,,,No,NORDEX,N100,,100,25.04.2014
NORDEX N60 1300-250 60.0 !-!,1 300,459.8,60,,,,,,,,,,,,No,NORDEX,N60,250,69,17.06.2014
NORDEX N60 1300-250 60.0 !O!,1 300,459.8,60,,,,,,,,,,,,No,NORDEX,N60,250,69,17.06.2014
NORDEX N80 2500 80.0 !O!,2 500,497.4,80,,,,,,,,,,,,Yes,NORDEX,N80,,80,15.09.2011
NORDEX N90/2500 LS 2500 90.0 !O!,2 500,393,90,,,,,,,,,,,,Yes,NORDEX,N90/2500 LS,,80,01.02.2013
REpower 3.4M 3400 104.0 !O!,3 400,400.2,104,,,,,,,,,,,,No,REpower,3.4M,,98,19.07.2013
REpower MM 70 2000 70.0 !-!,2 000,519.7,70,,,,,,,,,,,,No,REpower,MM 70,,65,10.03.2014
REpower MM 82 2050 82.0 !O!,2 050,388.2,82,,,,,,,,,,,,No,REpower,MM 82,,80,10.03.2014
REpower MM 92 2000 92.5 !-!,2 000,297.6,92.5,,,,,,,,,,,,No,REpower,MM 92,,80,28.06.2012
REpower MM 92 2050 92.5 !O!,2 050,305.1,92.5,,,,,,,,,,,,No,REpower,MM 92,,80,10.03.2014
SENVION 3.2M114VG 3200 114.0 !O!,3 200,313.5,114,91.0,95.4,97.8,101.5,104.1,104.2,104.1,103.8,,,,Yes,SENVION,3.2M114VG,,93,14.09.2017
SENVION 3.2M114VG 3200 114.0 !O!,3 200,313.5,114,93.0,95.4,97.8,101.5,104.1,104.2,104.1,103.8,,,,Yes,SENVION,3.2M114VG,,93,14.09.2017
SENVION 3.2M114VG 3200 114.0 !O!,3 200,313.5,114,120.0,95.7,98.2,102.2,104.2,104.2,104.0,103.8,,,,Yes,SENVION,3.2M114VG,,93,14.09.2017
SENVION 3.2M114VG 3200 114.0 !O!,3 200,313.5,114,123.0,95.7,98.2,102.2,104.2,104.2,104.0,103.8,,,,Yes,SENVION,3.2M114VG,,93,14.09.2017
SENVION 3.2M114VG 3200 114.0 !O!,3 200,313.5,114,140.0,95.9,98.4,102.6,104.2,104.2,103.9,103.8,,,,Yes,SENVION,3.2M114VG,,93,14.09.2017
SENVION 3.2M114VG 3200 114.0 !O!,3 200,313.5,114,143.0,95.9,98.4,102.6,104.2,104.2,103.9,103.8,,,,Yes,SENVION,3.2M114VG,,93,14.09.2017
SENVION 3.4M114 3400 114.0 !O!,3 400,333.1,114,93.0,95.4,97.8,101.5,104.1,104.2,104.1,103.8,,,,Yes,SENVION,3.4M114,,93,19.01.2017
Siemens SWT-4.0-130 4000 130.0 !O!,4 000,301.4,130,,,,,,,,,,,,Yes,Siemens,SWT-4.0-130,,89.5,28.07.2016
Siemens SWT-DD-120 4300 120.0 !O!,4 300,380.2,120,,,,,,,,,,,,Yes,Siemens,SWT-DD-120,,85,12.02.2018
VENSYS 112 2500 112.0 !O!,2 500,253.8,112,,,,,,,,,,,,No,VENSYS,112,,93.5,28.10.2020
VESTAS V117-3.3 GridStreame 3300 117.0 !O!,3 300,306.9,117,91.5,93.2,97.1,101.3,105.1,106.7,107.0,107.0,107.0,107.0,107.0,Yes,VESTAS,V117-3.3 GridStreame,,91.5,03.01.2018
VESTAS V117-3.3 GridStreame 3300 117.0 !O!,3 300,306.9,117,116.5,93.4,97.7,102.2,105.7,106.6,107.0,107.0,107.0,107.0,107.0,Yes,VESTAS,V117-3.3 GridStreame,,91.5,03.01.2018
VESTAS V126-3.45 HTq 3450 126.0 !O!,3 450,276.7,126,87.0,91.9,94.9,99.3,103.1,104.4,104.4,104.4,104.4,104.4,104.4,Yes,VESTAS,V126-3.45 HTq,,137,04.10.2016
VESTAS V126-3.45 HTq 3450 126.0 !O!,3 450,276.7,126,117.0,92.1,95.6,100.2,103.8,104.4,104.4,104.4,104.4,104.4,104.4,Yes,VESTAS,V126-3.45 HTq,,137,04.10.2016
VESTAS V126-3.45 HTq 3450 126.0 !O!,3 450,276.7,126,137.0,92.3,95.9,100.6,104.1,104.4,104.4,104.4,104.4,104.4,104.4,Yes,VESTAS,V126-3.45 HTq,,137,04.10.2016
VESTAS V126-3.45 HTq 3450 126.0 !O!,3 450,276.7,126,147.0,92.3,96.1,100.8,104.2,104.4,104.4,104.4,104.4,104.4,104.4,Yes,VESTAS,V126-3.45 HTq,,137,04.10.2016
VESTAS V126-3.45 HTq 3450 126.0 !O!,3 450,276.7,126,149.0,92.3,96.1,100.8,104.2,104.4,104.4,104.4,104.4,104.4,104.4,Yes,VESTAS,V126-3.45 HTq,,137,04.10.2016
VESTAS V126-3.45 LTq 3450 126.0 !O!,3 450,276.7,126,87.0,92.2,95.1,99.6,103.7,106.8,107.3,107.3,107.3,107.3,107.3,Yes,VESTAS,V126-3.45 LTq,,137,04.10.2016
VESTAS V126-3.45 LTq 3450 126.0 !O!,3 450,276.7,126,117.0,92.4,95.8,100.5,104.6,107.1,107.3,107.3,107.3,107.3,107.3,Yes,VESTAS,V126-3.45 LTq,,137,04.10.2016
VESTAS V126-3.45 LTq 3450 126.0 !O!,3 450,276.7,126,137.0,92.5,96.1,100.9,105.1,107.2,107.3,107.3,107.3,107.3,107.3,Yes,VESTAS,V126-3.45 LTq,,137,04.10.2016
VESTAS V66 1750 66.0 !O!,1 750,511.5,66,,,,,,,,,,,,No,VESTAS,V66,,67,17.08.2016
VESTAS V80-2.0 Gridstreamer 2000 80.0 !O!,2 000,397.9,80,,,,,,,,,,,,No,VESTAS,V80-2.0 Gridstreamer,,80,26.08.2015
VESTAS V90 VCS 60Hz 1815 90.0 !O!,1 815,285.3,90,80.0,92.4,95.6,99.8,102.5,103.2,103.5,103.5,103.5,103.5,103.5,Yes,VESTAS,V90 VCS,,80,17.08.2016
VESTAS V90 VCS 60Hz 1815 90.0 !O!,1 815,285.3,90,95.0,92.6,96.1,100.3,102.7,103.3,103.5,103.5,103.5,103.5,103.5,Yes,VESTAS,V90 VCS,,80,17.08.2016
VESTAS V90-1.8 GridStreamer 1800 90.0 !O!,1 800,282.9,90,80.0,92.5,95.6,99.8,103.0,104.0,104.0,104.0,104.0,104.0,104.0,Yes,VESTAS,V90-1.8 GridStreamer,,80,17.08.2016
VESTAS V90-1.8 GridStreamer 1800 90.0 !O!,1 800,282.9,90,95.0,92.6,96.1,100.3,103.2,104.0,104.0,104.0,104.0,104.0,104.0,Yes,VESTAS,V90-1.8 GridStreamer,,80,17.08.2016
VESTAS V90-1.8 GridStreamer 1800 90.0 !O!,1 800,282.9,90,105.0,92.6,96.4,100.6,103.4,104.0,104.0,104.0,104.0,104.0,104.0,Yes,VESTAS,V90-1.8 GridStreamer,,80,17.08.2016
VESTAS V90-2.0 GridStreamer 2000 90.0 !O!,2 000,314.4,90,,,,,,,,,,,,No,VESTAS,V90-2.0 GridStreamer,,80,26.08.2015
W2E 120/3.0fc 3000 120.6 !O!,3 000,262.6,120.6,90.0,93.3,97.9,102.8,105.2,105.7,106.3,106.5,,,,Yes,W2E,120/3.0fc,,100,22.01.2020
W2E 120/3.0fc 3000 120.6 !O!,3 000,262.6,120.6,100.0,93.5,98.2,103.0,105.3,105.7,106.3,106.5,,,,Yes,W2E,120/3.0fc,,100,22.01.2020
W2E 120/3.0fc 3000 120.6 !O!,3 000,262.6,120.6,120.0,93.7,98.7,103.4,105.4,105.8,106.4,,,,,Yes,W2E,120/3.0fc,,100,22.01.2020
W2E 120/3.0fc 3000 120.6 !O!,3 000,262.6,120.6,140.0,94.0,99.2,103.8,105.5,105.9,106.4,,,,,Yes,W2E,120/3.0fc,,100,22.01.2020
e.n.o. e.n.o. 100 2200 100.5 !O!,2 200,277.3,100.5,,,,,,,,,,,,No,e.n.o.,e.n.o. 100,,99,21.05.2014
e.n.o. e.n.o. 114 3500 114.9 !O!,3 500,337.5,114.9,,,,,,,,,,,,No,e.n.o.,e.n.o. 114,,127.5,21.05.2014
e.n.o. e.n.o. 92 2200 92.8 !O!,2 200,325.3,92.8,,,,,,,,,,,,No,e.n.o.,e.n.o. 92,,103,21.05.2014
eno eno 82 2.05 2050 82.4 !O!,2 050,384.4,82.4,,,,,,,,,,,,No,eno,eno 82 2.05,,101,18.02.2021
NORDEX N-43/600 600-125 43.0 !-!,600,413.2,43,,,,,,,,,,,,No,NORDEX,N-43/600,125,40,17.06.2014
ANBONUS AN 1.3MW / 62 1300-260 62.0 !O!,1 300,430.6,62,,,,,,,,,,,,No,ANBONUS,AN 1.3MW / 62,260,68,15.09.2011
ANBONUS AN 1MW / 54 1000-200 54.0 !O!,1 000,436.6,54,,,,,,,,,,,,No,ANBONUS,AN 1MW / 54,200,60,15.09.2011
ENERCON E-40/6.44 600 44.0 !O!,600,394.6,44,,,,,,,,,,,,No,ENERCON,E-40/6.44,,78,12.07.2006
GE WIND ENERGY GE 3.6s offshore 3600 104.0 !O!,3 600,423.8,104,,,,,,,,,,,,No,GE WIND ENERGY,GE 3.6s offshore,,100,20.12.2011
REpower MD 70 1500 70.0 !-!,1 500,389.8,70,,,,,,,,,,,,No,REpower,MD 70,,65,10.03.2014
Siemens Gamesa SG 2.2-122 CS 2200 122.0 !O!,2 200,188.2,122,108.0,99.2,100.7,105.9,109.5,109.5,109.5,,,,,Yes,Siemens Gamesa,SG 2.2-122 CS,,108,16.11.2020
Siemens Gamesa SG 2.2-122 CS 2200 122.0 !O!,2 200,188.2,122,127.0,99.2,101.1,106.4,109.5,109.5,109.5,,,,,Yes,Siemens Gamesa,SG 2.2-122 CS,,108,16.11.2020
VENSYS 77 1500 77.0 !O!,1 500,322.1,77,,,,,,,,,,,,No,VENSYS,77,,85,27.10.2020
VERGNET GEV HP 1000 62.0 !O!,1 000,331.2,62,,,,,,,,,,,,Yes,VERGNET,GEV HP,,70,22.09.2008
VESTAS V100 1800 100.0 !O!,1 800,229.2,100,80.0,94.0,96.2,100.1,103.9,105.0,105.0,105.0,105.0,105.0,105.0,Yes,VESTAS,V100,,80,05.07.2012
VESTAS V100 1800 100.0 !O!,1 800,229.2,100,95.0,94.1,96.6,100.7,104.4,105.0,105.0,105.0,105.0,105.0,105.0,Yes,VESTAS,V100,,80,05.07.2012
VESTAS V100 60Hz 1800 100.0 !O!,1 800,229.2,100,80.0,93.8,96.0,100.1,103.9,105.0,105.0,105.0,105.0,105.0,105.0,Yes,VESTAS,V100,,80,04.07.2012
VESTAS V100 60Hz 1800 100.0 !O!,1 800,229.2,100,95.0,93.8,96.4,100.7,104.4,105.0,105.0,105.0,105.0,105.0,105.0,Yes,VESTAS,V100,,80,04.07.2012
VESTAS V100-1.8GridStreamer 1800 100.0 !O!,1 800,229.2,100,80.0,94.0,95.9,100.1,103.8,106.0,106.0,106.0,106.0,106.0,106.0,Yes,VESTAS,V100-1.8GridStreamer,,80,20.08.2013
VESTAS V100-1.8GridStreamer 1800 100.0 !O!,1 800,229.2,100,95.0,94.1,96.4,100.6,104.4,106.0,106.0,106.0,106.0,106.0,106.0,Yes,VESTAS,V100-1.8GridStreamer,,80,20.08.2013
VESTAS V100-1.8GridStreamer 1800 100.0 !O!,1 800,229.2,100,125.0,94.2,97.2,101.5,105.3,106.0,106.0,106.0,106.0,106.0,106.0,Yes,VESTAS,V100-1.8GridStreamer,,80,20.08.2013
VESTAS V112 3000 112.0 !O!,3 000,304.5,112,,,,,,,,,,,,No,VESTAS,V112,,84,28.05.2014
VESTAS V120-2.2 60Hz 2200 120.0 !O!,2 200,194.5,120,80.0,99.3,102.2,105.2,108.0,108.6,108.6,108.6,108.6,108.6,108.6,Yes,VESTAS,V120-2.2,,80,24.03.2021
VESTAS V120-2.2 60Hz 2200 120.0 !O!,2 200,194.5,120,92.0,99.4,102.5,105.5,108.1,108.6,108.6,108.6,108.6,108.6,108.6,Yes,VESTAS,V120-2.2,,80,24.03.2021
VESTAS V120-2.2 60Hz 2200 120.0 !O!,2 200,194.5,120,122.0,99.7,103.1,106.1,108.4,108.6,108.6,108.6,108.6,108.6,108.6,Yes,VESTAS,V120-2.2,,80,24.03.2021
VESTAS V90 1800 90.0 !O!,1 800,282.9,90,80.0,,94.4,99.4,102.5,103.6,104.0,104.0,104.0,104.0,104.0,Yes,VESTAS,V90,,80,23.03.2021
VESTAS V90 1800 90.0 !O!,1 800,282.9,90,95.0,,95.0,100.0,102.8,103.7,104.0,104.0,104.0,104.0,104.0,Yes,VESTAS,V90,,80,23.03.2021
VESTAS V90 2000 90.0 !O!,2 000,314.4,90,80.0,Go home you've done enough !! ,,,,,,,,,,Yes,VESTAS,V90,,80,21.10.2013
VESTAS V90 2000 90.0 !O!,2 000,314.4,90,95.0,ok I will:)),,,,,,,,,,Yes,VESTAS,V90,,80,21.10.2013
VESTAS V90 2000 90.0 !O!,2 000,314.4,90,105.0,merci encore :) ,,,,,,,,,,Yes,VESTAS,V90,,80,21.10.2013
VESTAS V90 2000 90.0 !O!,2 000,314.4,90,125.0,,,,,,,,,,,Yes,VESTAS,V90,,80,21.10.2013
VESTAS V90 60Hz 1800 90.0 !O!,1 800,282.9,90,,,,,,,,,,,,Yes,VESTAS,V90,,80,17.08.2016
VESTAS V90 VCRS 60Hz 3000 90.0 !O!,3 000,471.6,90,,,,,,,,,,,,Yes,VESTAS,V90 VCRS,,80,17.08.2016
WINCON W755/48 755-200 48.0 !-!,755,417.2,48,,,,,,,,,,,,Yes,WINCON,W755/48,200,45,17.06.2014
DEWIND D6/64-1.25MW 1250 64.0 !O!,1 250,388.6,64,,,,,,,,,,,,Yes,DEWIND,D6/64-1.25MW,,68,15.09.2011
DEWIND D8/80-2MW 2000 80.0 !O!,2 000,397.9,80,,,,,,,,,,,,Yes,DEWIND,D8/80-2MW,,80,03.07.2012
DWP  150 22.2 !O!,150,387.5,22.2,,,,,,,,,,,,No,DWP,,,24,17.06.2014
ECOTECNIA 1250 1300-300 62.0 !O!,1 300,430.6,62,,,,,,,,,,,,Yes,ECOTECNIA,1250,300,60,27.06.2005
ENERCON E-30/3.30 300 30.0 !O!,300,424.4,30,,,,,,,,,,,,No,ENERCON,E-30/3.30,,50,15.08.2003
ENERCON E-58/10.58 1000 58.0 !O!,1 000,378.5,58,,,,,,,,,,,,No,ENERCON,E-58/10.58,,70.5,15.09.2011
ENERCON E-66/18.70 1800 70.0 !O!,1 800,467.7,70,,,,,,,,,,,,No,ENERCON,E-66/18.70,,65,15.09.2011
ENRONWIND EW 600a 600-150 46.0 !O!,600,361,46,,,,,,,,,,,,No,ENRONWIND,EW 600a,150,50,10.03.2004
EWT DW52 500 52.0 !O!,500,235.4,52,,,,,,,,,,,,No,EWT,DW52,,35,24.11.2016
EWT DW52 900 52.0 !O!,900,423.8,52,,,,,,,,,,,,No,EWT,DW52,,35,24.11.2016
EWT DW54 250 54.0 !O!,250,109.2,54,,,,,,,,,,,,Yes,EWT,DW54,,50,23.11.2016
FUHRLÄNDER FL-MD77 1500 77.0 !-!,1 500,322.1,77,,,,,,,,,,,,No,FUHRLÄNDER,FL-MD77,,61.5,22.07.2013
FWT 2500-100 2500 100.0 !O!,2 500,318.3,100,,,,,,,,,,,,Yes,FWT,2500-100,,100,15.09.2016
GAMESA G128 5000 128.0 !O!,5 000,388.6,128,,,,,,,,,,,,Yes,GAMESA,G128,,120,18.07.2013
GE WIND ENERGY GE 2.3 116 2300 116.0 !O!,2 300,217.6,116,,,,,,,,,,,,Yes,GE WIND ENERGY,GE 2.3 116,,80,23.10.2019
GE WIND ENERGY GE 900s 900 55.0 !O!,900,378.8,55,,,,,,,,,,,,No,GE WIND ENERGY,GE 900s,,60,19.12.2011
KANO-ROTOR 30 kW 30 13.4 !#!,30,212.7,13.4,,,,,,,,,,,,No,KANO-ROTOR,30 kW,,30.5,15.09.2011
LAGERWEY  750 45.0 !O!,750,471.6,45,,,,,,,,,,,,No,LAGERWEY,,,50,16.10.2015
LAGERWEY LW 52 750 51.5 !O!,750,360,51.5,,,,,,,,,,,,Yes,LAGERWEY,LW 52,,74.5,27.11.2003
LAGERWEY LW 58 750 58.0 !O!,750,283.9,58,,,,,,,,,,,,Yes,LAGERWEY,LW 58,,65,15.09.2011
LAGERWEY LW 72 (1.5) 1500 71.2 !O!,1 500,376.7,71.2,,,,,,,,,,,,Yes,LAGERWEY,LW 72 (1.5),,80,15.09.2011
LAGERWEY LW 72 (2.0) 2000 71.2 !O!,2 000,502.3,71.2,,,,,,,,,,,,Yes,LAGERWEY,LW 72 (2.0),,65,15.09.2011
LAGERWEY WM 900 900 45.9 !O!,900,543.9,45.9,,,,,,,,,,,,Yes,LAGERWEY,WM 900,,5,15.09.2011
MICON  250 24.0 !O!,250,552.6,24,,,,,,,,,,,,No,MICON,,,30,17.06.2014
MICON M750 400-100 31.0 !O!,400,530,31,,,,,,,,,,,,No,MICON,M750,100,36,17.06.2014
NEG MICON NM 64-1500C 1500-400 64.0 !O!,1 500,466.3,64,,,,,,,,,,,,No,NEG MICON,NM 64/1500C,400,60,30.07.2003
NEG MICON NM48/750 750-200 48.2 !O!,750,411,48.2,,,,,,,,,,,,No,NEG MICON,NM48/750,200,45,17.06.2014
NEG MICON NM60/1000 1000-250 60.0 !O!,1 000,353.7,60,,,,,,,,,,,,No,NEG MICON,NM60/1000,250,45,17.06.2014
NEG MICON NM82/1500 1500-400 82.0 !O!,1 500,284,82,,,,,,,,,,,,No,NEG MICON,NM82/1500,400,93.6,02.12.2003
NORDEX N-54/1000 1000-200 54.0 !-!,1 000,436.6,54,,,,,,,,,,,,No,NORDEX,N-54/1000,200,60,08.12.2003
NORDEX N117/3000 Controlled 3000 116.8 !O!,3 000,280,116.8,,,,,,,,,,,,Yes,NORDEX,N117/3000 Controlled,,91,20.12.2018
NORDEX N131/3000 Controlled 3000 131.0 !O!,3 000,222.6,131,,,,,,,,,,,,Yes,NORDEX,N131/3000 Controlled,,106,20.12.2018
NORDEX N149/4.0-4.5 4500 149.0 !O!,4 500,258.1,149,,,,,,,,,,,,Yes,NORDEX,N149/4.0-4.5,,125,21.04.2021
NORDEX N60 1300-250 60.0 !O!,1 300,459.8,60,,,,,,,,,,,,No,NORDEX,N60,250,69,27.06.2005
NORDEX N60 1300-250 60.0 !O!,1 300,459.8,60,,,,,,,,,,,,Yes,NORDEX,N60,250,69,17.06.2014
NORDEX N90 2300 90.0 !-!,2 300,361.5,90,,,,,,,,,,,,Yes,NORDEX,N90,,80,01.02.2013
NORDEX S70 1500 70.0 !-!,1 500,389.8,70,,,,,,,,,,,,Yes,NORDEX,S70,,85,15.09.2011
NORDEX S77 1500 77.0 !-!,1 500,322.1,77,,,,,,,,,,,,Yes,NORDEX,S77,,85,09.02.2018
REpower 57/1000 1050-250 57.0 !-!,1 050,411.5,57,,,,,,,,,,,,No,REpower,57/1000,250,60,15.09.2011
REpower MD 77 1500 77.0 !-!,1 500,322.1,77,,,,,,,,,,,,No,REpower,MD 77,,85,10.03.2014
SENVION MM92 60Hz 2050 92.5 !O!,2 050,305.1,92.5,,,,,,,,,,,,Yes,SENVION,MM92,,80,03.05.2016
SÜDWIND S77 1500 77.0 !-!,1 500,322.1,77,,,,,,,,,,,,No,SÜDWIND,S77,,85,17.02.2020
VENSYS 100 2500 99.8 !O!,2 500,319.6,99.8,,,,,,,,,,,,No,VENSYS,100,,100,28.10.2020
VENSYS 70 1500 70.0 !O!,1 500,389.8,70,,,,,,,,,,,,Yes,VENSYS,70,,65,21.09.2017
VENSYS 87 1500 87.0 !O!,1 500,252.3,87,,,,,,,,,,,,No,VENSYS,87,,85,27.10.2020
VESTAS V100 2050 100.0 !O!,2 050,261,100,,,,,,,,,,,,No,VESTAS,V100,,122,22.07.2019
VESTAS V100 2100 100.0 !O!,2 100,267.4,100,,,,,,,,,,,,No,VESTAS,V100,,122,22.07.2019
VESTAS V100 2150 100.0 !O!,2 150,273.7,100,,,,,,,,,,,,No,VESTAS,V100,,122,22.07.2019
VESTAS V100 2200 100.0 !O!,2 200,280.1,100,,,,,,,,,,,,No,VESTAS,V100,,122,16.05.2022
VESTAS V100 2600 100.0 !O!,2 600,331,100,,,,,,,,,,,,Yes,VESTAS,V100,,80,01.06.2021
VESTAS V105-3.45 3450 105.0 !O!,3 450,398.4,105,,,,,,,,,,,,Yes,VESTAS,V105-3.45,,72.5,04.10.2016
VESTAS V105-3.6 3600 105.0 !O!,3 600,415.8,105,,,,,,,,,,,,Yes,VESTAS,V105-3.6,,72.5,04.10.2016
VESTAS V110-2.0 2000 110.0 !O!,2 000,210.5,110,,,,,,,,,,,,Yes,VESTAS,V110-2.0,,95,17.08.2016
VESTAS V112-3.6 3600 112.0 !O!,3 600,365.4,112,,,,,,,,,,,,Yes,VESTAS,V112-3.6,,94,04.10.2016
VESTAS V116-2.0 2000 116.0 !O!,2 000,189.2,116,,,,,,,,,,,,No,VESTAS,V116-2.0,,80,18.12.2019
VESTAS V120-2.2 2200 120.0 !O!,2 200,194.5,120,,,,,,,,,,,,Yes,VESTAS,V120-2.2,,80,23.03.2021
VESTAS V47 660-200 47.0 !O!,660,380.4,47,,,,,,,,,,,,No,VESTAS,V47,200,45,17.08.2016
VESTAS V80-1.8MW  60Hz 1800 80.0 !O!,1 800,358.1,80,,,,,,,,,,,,No,VESTAS,V80-1.8MW,,60,23.03.2021
WINDWORLD  150 28.0 !O!,150,243.6,28,,,,,,,,,,,,No,WINDWORLD,,,31.2,17.06.2014
e.n.o. 82 2MW 2000 82.4 !O!,2 000,375,82.4,,,,,,,,,,,,No,e.n.o.,82 2MW,,101,27.07.2012
e.n.o. e.n.o. 82 2000 82.4 !O!,2 000,375,82.4,,,,,,,,,,,,No,e.n.o.,e.n.o. 82,,101,27.07.2012
eno eno 82 2.0 2000 82.4 !O!,2 000,375,82.4,,,,,,,,,,,,No,eno,eno 82 2.0,,101,18.02.2021
AN Windenergie GmbH AN BONUS 1 MW/54 1000-200 54.2 !O!,1 000,433.4,54.2,,,,,,,,,,,,No,AN Windenergie GmbH,AN BONUS 1 MW/54,200,70,27.07.2006
AN Windenergie GmbH AN BONUS 1.3 MW/62 1300-250 62.0 !O!,1 300,430.6,62,,,,,,,,,,,,No,AN Windenergie GmbH,AN BONUS 1.3 MW/62,250,68,15.09.2011
AN Windenergie GmbH AN BONUS 600 kW/44-3 600-120 44.0 !O!,600,394.6,44,,,,,,,,,,,,No,AN Windenergie GmbH,AN BONUS 600 kW/44-3,120,58,27.07.2006
ANBONUS AN 150 150-30 23.0 !O!,150,361,23,,,,,,,,,,,,No,ANBONUS,AN 150,30,30,20.06.2001
ANBONUS AN 150 MKII 150-30 23.8 !O!,150,337.2,23.8,,,,,,,,,,,,No,ANBONUS,AN 150 MKII,30,30,16.06.2001
ANBONUS AN 300kW 300 33.0 !O!,300,350.8,33,,,,,,,,,,,,No,ANBONUS,AN 300kW,,30,20.06.2001
ANBONUS AN 450 450 37.0 !-!,450,418.5,37,,,,,,,,,,,,No,ANBONUS,AN 450,,35,21.01.2009
ANBONUS AN 600kW / 44-3 600-120 44.0 !O!,600,394.6,44,,,,,,,,,,,,No,ANBONUS,AN 600kW / 44-3,120,42,12.08.2003
ATB Riva Calzoni ATB 100.28 DD 100 28.0 !O!,100,162.4,28,,,,,,,,,,,,Yes,ATB Riva Calzoni,ATB 100.28 DD,,37,04.12.2019
ATB Riva Calzoni ATB 500.54 500 54.0 !O!,500,218.3,54,,,,,,,,,,,,Yes,ATB Riva Calzoni,ATB 500.54,,50,27.04.2017
ATB Riva Calzoni ATB 60.28 DD 60 28.0 !O!,60,97.4,28,,,,,,,,,,,,Yes,ATB Riva Calzoni,ATB 60.28 DD,,37,02.05.2017
ATB Riva Calzoni ATB 750.54 750 54.0 !O!,750,327.5,54,,,,,,,,,,,,Yes,ATB Riva Calzoni,ATB 750.54,,72,27.04.2017
Acciona Windpower AW116/3000 3000 116.0 !O!,3 000,283.9,116,,,,,,,,,,,,Yes,Acciona Windpower,AW116/3000,,120,07.07.2015
Acciona Windpower AW125/3000 3000 125.0 !O!,3 000,244.5,125,,,,,,,,,,,,Yes,Acciona Windpower,AW125/3000,,120,07.07.2015
Acciona Windpower AW125/3150 3150 125.0 !O!,3 150,256.7,125,,,,,,,,,,,,Yes,Acciona Windpower,AW125/3150,,120,26.07.2016
Acciona Windpower AW132/3000 3000 132.0 !O!,3 000,219.2,132,,,,,,,,,,,,Yes,Acciona Windpower,AW132/3000,,120,26.07.2016
Alstom Wind ECO 122 3000 122.0 !O!,3 000,256.6,122,,,,,,,,,,,,Yes,Alstom Wind,ECO 122,,89,26.08.2015
Alstom Wind ECO 1670 1670 74.0 !O!,1 670,388.3,74,,,,,,,,,,,,No,Alstom Wind,ECO 1670,,70,03.06.2013
Alstom Wind ECO 74 1670 74.0 !O!,1 670,388.3,74,,,,,,,,,,,,Yes,Alstom Wind,ECO 74,,70,10.07.2015
BONUS  1000-200 54.0 !O!,1 000,436.6,54,,,,,,,,,,,,No,BONUS,,200,45,17.06.2014
BONUS  150-30 23.0 !O!,150,361,23,,,,,,,,,,,,No,BONUS,,30,24.5,08.10.2015
BONUS  300 31.0 !O!,300,397.5,31,,,,,,,,,,,,No,BONUS,,,30,17.06.2014
BONUS  450 35.0 !O!,450,467.7,35,,,,,,,,,,,,No,BONUS,,,30,17.06.2014
BONUS  500 41.0 !O!,500,378.7,41,,,,,,,,,,,,No,BONUS,,,35,17.06.2014
BONUS  600 41.0 !O!,600,454.5,41,,,,,,,,,,,,No,BONUS,,,35,17.06.2014
BONUS 1.0 MW 1000-200 54.2 !O!,1 000,433.4,54.2,,,,,,,,,,,,No,BONUS,1.0 MW,200,45,17.06.2014
BONUS 1.3 MW 1300-250 62.0 !O!,1 300,430.6,62,,,,,,,,,,,,No,BONUS,1.3 MW,250,60,17.06.2014
