Name,Power,W/m2,Diameter,hub height [m],Noise @ 3m/s [dB],Noise @ 4m/s [dB],Noise @ 5m/s [dB],Noise @ 6m/s [dB],Noise @ 7m/s [dB],Noise @ 8m/s [dB],Noise @ 9m/s [dB],Noise @ 10m/s [dB],Noise @ 11m/s [dB],Noise @ 12m/s [dB],Valid,Company,Variant,Sec. power,Def. hub height,Edit date
,,,,,wind speed at 10m,,,,,,,,,,,,,,,
SENVION 3.2M114 3200 114.0 !O!,3 200,313.5,114,93.0,95.4,97.8,101.5,104.1,104.2,104.1,103.8,,,,Yes,SENVION,3.2M114,,93,19.01.2017
SENVION 3.2M114 3200 114.0 !O!,3 200,313.5,114,120.0,95.7,98.2,102.2,104.2,104.2,104.0,103.8,,,,Yes,SENVION,3.2M114,,93,19.01.2017
SENVION 3.2M114 3200 114.0 !O!,3 200,313.5,114,123.0,95.7,98.2,102.2,104.2,104.2,104.0,103.8,,,,Yes,SENVION,3.2M114,,93,19.01.2017
SENVION 3.2M114 3200 114.0 !O!,3 200,313.5,114,140.0,95.9,98.4,102.6,104.2,104.2,103.9,103.8,,,,Yes,SENVION,3.2M114,,93,19.01.2017
SENVION 3.2M114 3200 114.0 !O!,3 200,313.5,114,143.0,95.9,98.4,102.6,104.2,104.2,103.9,103.8,,,,Yes,SENVION,3.2M114,,93,19.01.2017
SENVION 3.4M104 3400 104.0 !O!,3 400,400.2,104,78.0,95.0,96.4,99.8,103.6,105.3,105.6,105.1,104.8,,,Yes,SENVION,3.4M104,,80,19.01.2017
SENVION 3.4M104 3400 104.0 !O!,3 400,400.2,104,80.0,95.0,96.4,99.8,103.6,105.3,105.6,105.1,104.8,,,Yes,SENVION,3.4M104,,80,19.01.2017
SENVION 3.4M104 3400 104.0 !O!,3 400,400.2,104,96.5,95.0,96.7,100.4,104.1,105.4,105.5,105.0,104.8,,,Yes,SENVION,3.4M104,,80,19.01.2017
SENVION 3.4M104 3400 104.0 !O!,3 400,400.2,104,100.0,95.0,96.7,100.4,104.1,105.4,105.5,105.0,104.8,,,Yes,SENVION,3.4M104,,80,19.01.2017
SENVION 3.4M104 3400 104.0 !O!,3 400,400.2,104,125.0,95.1,97.1,101.1,104.5,105.5,105.3,104.9,104.8,,,Yes,SENVION,3.4M104,,80,19.01.2017
SENVION 3.4M104 3400 104.0 !O!,3 400,400.2,104,128.0,95.2,97.1,101.1,104.5,105.5,105.3,104.9,104.8,,,Yes,SENVION,3.4M104,,80,19.01.2017
Siemens SWT-2.3-82 VS 2300 82.4 !O!,2 300,431.3,82.4,68.3,,,,102.4,104.5,104.5,,,,,Yes,Siemens,SWT-2.3-82 VS,,68.3,13.09.2016
Siemens Gamesa SG 2.7-129 60Hz 2750 129.0 !O!,2 750,210.4,129,,,,,,,,,,,,Yes,Siemens Gamesa,SG 2.7-129,,87,16.11.2020
